보험가입연도,계약자_업종,계약자_소재지,계약자_기업규모,계약자_업력,취급종류,보험금액
2011,C25991,경기,중소기업, 11 ,매출채권보험,9000000 
2011,C25991,경기,중소기업, 11 ,매출채권보험,7000000 
2011,G46721,경기,중소기업, 10 ,어음보험,19000000 
2011,C25112,서울,중소기업, 13 ,어음보험,31000000 
2011,C25112,서울,중소기업, 13 ,어음보험,15000000 
2011,C29199,경북,중소기업, 9 ,어음보험,35000000 
2011,C22240,인천,중소기업, 7 ,어음보험,37000000 
2011,C14202,서울,중소기업, 11 ,어음보험,10000000 
2011,C14202,서울,중소기업, 11 ,어음보험,13000000 
2011,G46499,서울,중소기업, 5 ,어음보험,16000000 
2011,C16102,경기,중소기업, 1 ,어음보험,47000000 
2011,C16102,경기,중소기업, 1 ,어음보험,40000000 
2011,G46741,서울,중소기업, 20 ,어음보험,18000000 
2011,G46741,서울,중소기업, 20 ,어음보험,4000000 
2011,G46621,서울,중소기업, 11 ,어음보험,32000000 
2011,H52991,충남,중소기업, 7 ,어음보험,21000000 
2011,G46712,경북,중소기업, 15 ,어음보험,6000000 
2011,C29294,인천,중소기업, 11 ,어음보험,6000000 
2011,G46621,부산,중소기업, 11 ,어음보험,7000000 
2011,G46621,부산,중소기업, 11 ,어음보험,3000000 
2011,G46699,서울,중소기업, 10 ,어음보험,17000000 
2011,G46699,서울,중소기업, 10 ,어음보험,16000000 
2011,G46799,서울,중소기업, 9 ,어음보험,21000000 
2011,C25113,전북,중소기업, 7 ,어음보험,21000000 
2011,C25941,경기,중소기업, 17 ,어음보험,12000000 
2011,C29299,전북,중소기업, 1 ,어음보험,13000000 
2011,C24191,전남,중소기업, 14 ,어음보험,50000000 
2011,G46611,대구,중소기업, 16 ,어음보험,30000000 
2011,G46621,서울,중소기업, 11 ,어음보험,20000000 
2011,G46721,경북,중소기업, 5 ,어음보험,48000000 
2011,H52991,충북,중소기업, 4 ,어음보험,25000000 
2011,C25999,인천,중소기업, 7 ,어음보험,9000000 
2011,G46721,경기,중소기업, 21 ,어음보험,18000000 
2011,C28519,경기,중소기업, 23 ,어음보험,27000000 
2011,G46721,대구,중소기업, 18 ,어음보험,26000000 
2011,G46611,대구,중소기업, 20 ,어음보험,45000000 
2011,G46611,대구,중소기업, 20 ,어음보험,15000000 
2011,G46699,서울,중소기업, 23 ,어음보험,25000000 
