취급종류,구매자_업종,구매자_기업규모,구매자_소재지,계약자_업종,계약자_기업규모,계약자_소재지,인수일자,사고처리일자,사고사유,사고처리금액,사고정상해지금액,보상해지금액,보험금지급액,대위권원금회수금액,대위권발생일자,정상해지일자
매출채권보험,F42121,중소기업,경기,C25113,중소기업,경기,2012-06,2012-09,이행지체,20000000 ,3000000 ,17000000 ,17000000 ,0 , 2013-04 , 2013-04 
매출채권보험,G46329,중소기업,경기,G46329,중소기업,경기,2012-09,2013-01,폐업 · 해산등기,2000000 ,2000000 ,0 ,0 ,0 ,  , 2013-01 
매출채권보험,G46329,중소기업,경기,C10129,중소기업,경기,2012-11,2013-01,폐업 · 해산등기,5000000 ,5000000 ,0 ,0 ,0 ,  , 2013-01 
매출채권보험,G46329,중소기업,경기,C20432,중소기업,경기,2012-03,2013-01,폐업 · 해산등기,1000000 ,1000000 ,0 ,0 ,0 ,  , 2013-10 
매출채권보험,F42201,중소기업,서울,G46699,중소기업,경기,2012-11,2013-08,이행지체,30000000 ,30000000 ,0 ,0 ,0 ,  , 2013-08 
매출채권보험,F42132,중소기업,서울,G46611,중소기업,인천,2012-04,2013-02,이행지체,10000000 ,0 ,10000000 ,10000000 ,0 , 2013-04 ,  
매출채권보험,G46721,중소기업,경기,G46721,중소기업,경기,2012-11,2012-12,거래정지처분(예금부족),700000000 ,331000000 ,369000000 ,368000000 ,0 , 2013-02 , 2012-12 
매출채권보험,G46721,중소기업,경기,G46721,중소기업,경기,2011-11,2012-12,거래정지처분(예금부족),500000000 ,315000000 ,185000000 ,184000000 ,0 , 2013-01 , 2013-12 
매출채권보험,G46721,중소기업,경기,G46721,중소기업,경기,2011-12,2012-12,거래정지처분(예금부족),800000000 ,0 ,800000000 ,797000000 ,0 , 2013-02 ,  
매출채권보험,C25112,중소기업,전북,G46721,중소기업,경기,2012-02,2013-06,이행지체,21000000 ,21000000 ,0 ,0 ,0 ,  , 2013-06 
매출채권보험,C32021,중소기업,경남,G46699,중소기업,부산,2012-07,2013-12,이행지체,80000000 ,0 ,80000000 ,80000000 ,0 , 2013-12 ,  
